Id,SalePrice
1461,127721.42
1462,165808.11
1463,187576.94
1464,185063.34
1465,189466.48
1466,177624.98
1467,176332.05
1468,165601.53
1469,172877.12
1470,124438.19
1471,202278.72
1472,89608.29
1473,98693.4
1474,149167.42
1475,124606.96
1476,387457.88
1477,264947.06
1478,275548.3
1479,243152.6
1480,442781.16
1481,350973.53
1482,205641.27
1483,144527.42
1484,161678.53
1485,176980.03
1486,194276.98
1487,391255.4
1488,242652.61
1489,202057.92
1490,201109.34
1491,187363.4
1492,93859.62
1493,202458.36
1494,314876.03
1495,302255.72
1496,227532.1
1497,157528.83
1498,157159.66
1499,154325.3
1500,145441.05
1501,171303.81
1502,146084.61
1503,342094.75
1504,231159.8
1505,225372.19
1506,186668.66
1507,251395.53
1508,211609.36
1509,155935.52
1510,142814.86
1511,136607.61
1512,170008.3
1513,139785.34
1514,190393.69
1515,204382.1
1516,158915.73
1517,157804.8
1518,135428.28
1519,232529.4
1520,129642.24
1521,132997.44
1522,170532.89
1523,99923.31
1524,128329.5
1525,123267.11
1526,129620.65
1527,97926.914
1528,136976.81
1529,142309.52
1530,181839.72
1531,117326.55
1532,110094.164
1533,161498.06
1534,115876.83
1535,174327.61
1536,118463.02
1537,68742.625
1538,186870.16
1539,211213.53
1540,99719.02
1541,148334.48
1542,129790.695
1543,240359.98
1544,81428.53
1545,105787.25
1546,120052.484
1547,128728.63
1548,134113.58
1549,99929.16
1550,133364.72
1551,122764.83
1552,142497.55
1553,147496.27
1554,103915.0
1555,181204.72
1556,86436.266
1557,97959.25
1558,98880.48
1559,84314.49
1560,121769.83
1561,140515.28
1562,127792.96
1563,124368.54
1564,151252.8
1565,140259.23
1566,232252.34
1567,69016.016
1568,214272.27
1569,110404.15
1570,128351.49
1571,129485.41
1572,149704.73
1573,255481.86
1574,97434.41
1575,231638.3
1576,220034.8
1577,202102.52
1578,150245.23
1579,143812.61
1580,202766.16
1581,154001.97
1582,126343.57
1583,357237.66
1584,237702.22
1585,140875.12
1586,80047.22
1587,92232.625
1588,143602.9
1589,108006.71
1590,137786.6
1591,90966.46
1592,129440.805
1593,134365.05
1594,123170.1
1595,102189.12
1596,231039.73
1597,176990.25
1598,181060.56
1599,188821.3
1600,184517.66
1601,78007.47
1602,111597.59
1603,98642.734
1604,283276.97
1605,251519.11
1606,152966.66
1607,177933.64
1608,209350.8
1609,189296.56
1610,144173.73
1611,144163.83
1612,152398.28
1613,164020.66
1614,114860.15
1615,81684.71
1616,53097.977
1617,86671.46
1618,126916.875
1619,143312.12
1620,154306.55
1621,132297.97
1622,140952.98
1623,300028.03
1624,217160.12
1625,130496.77
1626,166651.36
1627,192482.72
1628,270878.25
1629,192437.81
1630,388056.56
1631,233189.86
1632,258304.55
1633,172144.56
1634,186910.75
1635,179408.11
1636,155687.33
1637,189673.8
1638,220371.89
1639,189820.33
1640,271738.78
1641,181168.94
1642,206546.23
1643,220320.44
1644,218386.56
1645,195273.02
1646,154749.73
1647,159297.3
1648,128819.7
1649,141469.92
1650,121253.9
1651,125274.17
1652,90786.34
1653,92454.26
1654,154961.39
1655,158564.52
1656,146854.06
1657,154621.77
1658,142449.17
1659,136370.58
1660,152199.19
1661,445599.6
1662,425399.28
1663,398056.06
1664,486883.7
1665,300813.97
1666,322187.44
1667,380951.5
1668,320726.6
1669,286111.6
1670,350939.7
1671,263612.03
1672,472794.53
1673,304733.06
1674,250461.69
1675,181811.69
1676,181521.56
1677,222665.77
1678,416056.3
1679,374445.75
1680,329819.16
1681,260366.27
1682,288110.22
1683,178043.34
1684,168033.19
1685,169279.14
1686,166358.34
1687,164437.3
1688,183247.62
1689,186707.2
1690,186613.56
1691,183128.34
1692,280181.97
1693,171042.38
1694,183081.0
1695,168074.5
1696,287702.4
1697,174677.2
1698,365907.88
1699,349247.34
1700,252038.14
1701,248977.62
1702,265990.9
1703,266819.16
1704,302847.94
1705,237556.28
1706,484528.8
1707,213698.6
1708,210585.0
1709,281984.78
1710,224449.06
1711,233691.97
1712,297348.3
1713,274037.84
1714,218634.61
1715,203231.7
1716,202269.67
1717,172166.47
1718,125751.97
1719,188180.62
1720,238932.28
1721,169712.14
1722,119765.04
1723,160813.05
1724,216215.2
1725,244759.11
1726,180562.31
1727,150444.03
1728,185001.84
1729,160452.81
1730,170890.89
1731,115208.56
1732,138678.03
1733,119113.91
1734,131399.06
1735,134292.4
1736,115001.57
1737,401630.78
1738,212863.45
1739,279815.6
1740,244226.3
1741,196161.53
1742,168035.55
1743,168614.45
1744,321493.3
1745,203208.89
1746,223152.69
1747,223830.66
1748,230416.19
1749,151860.92
1750,138199.52
1751,241338.31
1752,120507.53
1753,151035.3
1754,218042.8
1755,158831.67
1756,125060.83
1757,124960.45
1758,138035.2
1759,177277.34
